iter	M_lnFgutabs(1)	M_lnkgutelim(1)	M_lnktot(1)	M_lnkmratio(1)	M_lnkuDfrac(1)	SD_lnFgutabs(1)	SD_lnkgutelim(1)	SD_lnktot(1)	SD_lnkmratio(1)	SD_lnkuDfrac(1)	GSD_don(1)	GSD_d3g(1)	GSD_d15g(1)	lnFgutabs(1.1)	lnkgutelim(1.1)	lnktot(1.1)	lnkmratio(1.1)	lnkuDfrac(1.1)	lnFgutabs(1.2)	lnkgutelim(1.2)	lnktot(1.2)	lnkmratio(1.2)	lnkuDfrac(1.2)	lnFgutabs(1.3)	lnkgutelim(1.3)	lnktot(1.3)	lnkmratio(1.3)	lnkuDfrac(1.3)	lnFgutabs(1.4)	lnkgutelim(1.4)	lnktot(1.4)	lnkmratio(1.4)	lnkuDfrac(1.4)	lnFgutabs(1.5)	lnkgutelim(1.5)	lnktot(1.5)	lnkmratio(1.5)	lnkuDfrac(1.5)	lnFgutabs(1.6)	lnkgutelim(1.6)	lnktot(1.6)	lnkmratio(1.6)	lnkuDfrac(1.6)	lnFgutabs(1.7)	lnkgutelim(1.7)	lnktot(1.7)	lnkmratio(1.7)	lnkuDfrac(1.7)	lnFgutabs(1.8)	lnkgutelim(1.8)	lnktot(1.8)	lnkmratio(1.8)	lnkuDfrac(1.8)	lnFgutabs(1.9)	lnkgutelim(1.9)	lnktot(1.9)	lnkmratio(1.9)	lnkuDfrac(1.9)	lnFgutabs(1.10)	lnkgutelim(1.10)	lnktot(1.10)	lnkmratio(1.10)	lnkuDfrac(1.10)	lnFgutabs(1.11)	lnkgutelim(1.11)	lnktot(1.11)	lnkmratio(1.11)	lnkuDfrac(1.11)	lnFgutabs(1.12)	lnkgutelim(1.12)	lnktot(1.12)	lnkmratio(1.12)	lnkuDfrac(1.12)	lnFgutabs(1.13)	lnkgutelim(1.13)	lnktot(1.13)	lnkmratio(1.13)	lnkuDfrac(1.13)	lnFgutabs(1.14)	lnkgutelim(1.14)	lnktot(1.14)	lnkmratio(1.14)	lnkuDfrac(1.14)	lnFgutabs(1.15)	lnkgutelim(1.15)	lnktot(1.15)	lnkmratio(1.15)	lnkuDfrac(1.15)	lnFgutabs(1.16)	lnkgutelim(1.16)	lnktot(1.16)	lnkmratio(1.16)	lnkuDfrac(1.16)	LnPrior	LnData	LnPosterior
0	-2.02049	-0.222034	0.394689	4.83393	-2.08313	0.437424	1.01504	0.374009	1.29403	0.16408	1.47101	2.21896	1.2923	-0.555577	-0.182246	0.688665	0.302283	1.4032	0.451262	1.1802	0.388299	-0.65853	-1.66004	1.40132	-0.139901	-0.400111	-0.0783754	0.0279914	-0.0502157	-0.642353	0.113433	-1.04224	0.318304	-0.170318	0.623364	-0.071308	-0.010744	-0.101452	-0.58068	1.15053	-0.780457	1.13519	0.414408	-0.585179	0.717099	-0.208582	1.33866	-1.90802	-1.59943	0.498051	-1.20256	-0.594263	-0.289809	0.581218	-0.164477	0.28495	0.822368	1.86084	-2.19514	-0.896456	-1.0708	1.25661	0.225926	-1.10902	0.201072	-1.90793	-1.69605	-0.47651	0.956254	0.509996	-1.16252	1.24208	-0.899876	-0.882184	-0.113402	0.215884	0.814553	-0.984324	-0.572738	0.851915	0.269679	1.28305	-0.654186	-0.648925	-1.4208	-1.93787	1.04132	-0.419785	-0.232301	1.99924	0.348991	-1.33311	-0.531305	-1.288325e+02	-3.716254e+04	-3.729137e+04
50	-1.93082	-0.846595	-0.63244	-3.41298	-1.28991	0.564995	0.470517	0.33447	1.57123	0.575979	1.46719	1.94983	1.30841	1.21083	-1.54514	0.0798617	1.11053	-0.349104	1.89722	-0.810005	-0.106837	1.36657	1.15833	1.42472	-0.623635	-0.151837	0.878918	0.176468	2.02302	0.471279	-0.491918	-0.136919	0.353799	2.81738	-1.0038	1.7053	1.0326	-0.549181	2.41648	2.31572	1.32582	1.52512	-0.805871	1.73691	0.827237	1.20707	1.09129	-2.38263	2.7657	0.161538	-1.28127	0.820666	0.818542	1.89394	0.127723	-0.688171	1.50355	-1.74657	2.64094	-2.12078	-2.70341	1.03039	0.568442	3.17961	-1.17268	-1.45073	0.87454	1.09869	3.16141	0.564598	0.78128	0.780223	-0.681203	2.5061	0.352758	-0.591329	1.09903	0.382527	3.2311	0.0421148	0.0298052	0.851144	0.26176	2.65531	0.631299	0.607014	1.0835	0.558146	1.54483	-0.544116	-0.43234	0.528481	0.18442	-1.713393e+02	-1.309053e+03	-1.480392e+03
100	-1.84169	-1.02493	-0.828444	-3.25839	-1.32534	0.545875	0.811109	0.513337	1.60711	0.619923	1.52997	1.92907	1.29028	1.80752	-1.78349	-0.134564	0.966132	0.0564487	1.80863	0.526672	-0.826747	1.01165	1.18172	1.22052	0.387287	0.998459	0.673069	0.189506	2.71723	-0.367158	-1.56764	0.476316	0.0656376	3.05823	0.324795	-0.483616	1.04139	-1.03036	2.5059	1.18678	0.490217	1.59573	-0.755534	2.33676	-0.384452	0.245057	1.18602	-2.3617	2.94132	0.915658	-1.4316	0.972342	0.91132	1.92257	-0.388188	-0.448249	1.31757	-1.75582	2.47956	-1.21037	-1.19591	1.02562	0.929012	3.08584	0.316602	-1.30207	1.02513	0.870196	3.26702	0.923543	-0.0420141	1.4822	-0.537763	2.57905	1.28045	0.473644	1.11372	0.453943	3.23332	0.543441	-0.805831	0.824799	0.598608	1.99205	2.40635	-0.482586	1.02257	0.0918419	1.74242	-0.936034	1.25354	0.862367	0.452543	-1.727551e+02	-1.284639e+03	-1.457394e+03
150	-1.81352	-1.28599	-0.801252	-3.10627	-1.31101	0.56347	1.01179	0.307666	1.25005	0.647373	1.50522	1.93641	1.25516	1.72825	-1.26981	0.70339	1.70431	0.0285605	1.48677	0.301075	-0.0522682	1.19824	1.14058	1.30099	1.16898	-0.135129	0.812429	0.0385855	2.54489	-0.202119	-1.45657	0.102979	0.189404	2.72848	0.496001	-0.392046	0.938851	-0.42912	2.55595	1.22869	0.0225499	2.18844	-1.08656	2.17784	0.0849406	-0.164362	1.2705	-1.9567	2.43839	0.579888	-0.181804	0.615302	0.506597	1.5346	1.81983	0.56504	1.30061	-1.1079	2.58251	-1.78402	-1.55293	0.87619	0.777825	3.02702	-0.0505729	-1.75858	1.1467	0.951162	3.07156	1.50845	-0.31061	1.3216	-0.990699	2.60689	0.924773	-1.15469	1.02416	0.542077	2.65615	0.493602	0.955999	0.564343	0.273625	2.06779	1.52204	-0.106428	1.21751	0.494796	1.33448	-0.0988542	0.830429	0.795125	0.238665	-1.640979e+02	-1.281156e+03	-1.445254e+03
200	-1.76021	-1.15781	-0.956917	-2.7599	-1.42338	0.550714	1.20176	0.16687	1.01128	0.570995	1.55014	1.93972	1.25473	1.73707	-1.01003	0.0696535	1.61182	0.614872	1.55765	0.390563	-0.20191	1.52897	1.48819	1.26483	1.06356	0.236663	0.576394	0.663378	2.36428	-0.628187	-0.550253	0.0369678	0.216707	2.79462	2.50321	-0.327089	0.576773	-0.680594	2.47634	1.66144	0.882502	1.91603	-0.664382	2.10589	0.47374	-1.33727	1.61948	-1.60519	2.54333	1.37418	-1.55626	0.29463	1.08307	1.63501	-0.0302186	-1.80673	1.24275	-1.02213	2.76596	-1.69746	-2.5711	1.37534	0.723946	2.6896	0.893847	-2.82358	1.11826	0.943418	3.09107	-0.244841	0.113852	0.960216	-0.657312	2.66883	-0.633162	1.87924	0.690947	0.70284	2.96903	1.60761	-0.491411	1.01228	0.210392	2.49439	1.45953	-1.47818	1.09498	0.390437	1.35814	0.185901	0.11964	0.698238	0.428234	-1.762929e+02	-1.282651e+03	-1.458944e+03
250	-1.76265	-1.18293	-0.986847	-2.48343	-1.38017	0.572555	1.2587	0.175376	1.18301	0.661585	1.47642	1.81539	1.30349	1.40075	-0.544015	-2.06367	0.791798	0.0375529	1.40708	0.405855	0.553731	0.619013	1.19331	1.04195	1.27111	-0.00644541	0.637802	0.630506	2.27811	-0.127153	-1.63446	0.126955	0.221817	2.76086	-0.534382	1.31339	0.84035	-0.193121	2.5513	0.876207	0.532243	1.1798	-1.10939	2.15729	0.472139	0.119995	0.937459	-2.02257	2.48436	0.329992	0.323901	0.204998	0.812138	1.89994	0.12431	-1.06264	1.23494	-1.02014	2.87322	-2.60061	-1.26365	1.11214	0.714514	2.52206	0.53268	-0.559333	0.954815	0.632456	2.97077	-0.334128	0.931583	0.943903	-0.535721	2.54722	0.519516	 1.64	0.44358	0.426916	3.00142	0.270826	0.785881	0.701389	0.32986	2.15062	0.165221	1.11869	0.442558	0.210998	1.53956	-0.184484	0.43226	0.188018	0.497831	-1.574908e+02	-1.282621e+03	-1.440111e+03
300	-1.64198	-1.01517	-1.26254	-1.65642	-1.29763	0.551246	1.66337	0.347992	0.350282	0.6416	1.53986	1.88336	1.23096	1.16443	0.00339715	-0.826466	1.61013	0.103246	1.13441	0.33004	0.209162	0.878599	0.955893	1.04102	0.993659	0.246594	0.516219	-0.300017	1.687	0.422137	0.674041	-2.0973	-0.090803	2.57562	-0.0129287	0.921511	0.0700342	-0.628348	2.16286	0.413451	1.78799	1.23992	-1.2374	2.13308	0.260326	-0.877611	0.154374	-2.74265	2.2171	0.1542	1.61042	-0.759535	0.639144	1.63178	0.714873	-1.49476	1.43386	-1.87097	2.66334	-1.7463	-0.716196	-0.198009	0.72355	2.34234	0.647991	-0.0106281	0.62553	0.54923	2.93795	-0.03946	0.594332	0.439425	-0.78223	2.60034	0.683656	-1.12662	-1.12839	0.518564	2.68461	0.12647	1.55035	-0.461549	-0.0395422	1.99701	0.937312	0.673964	0.0615753	0.132717	1.28162	0.118828	0.0785842	-2.08441	0.348571	-1.541419e+02	-1.286149e+03	-1.440291e+03
350	-1.54822	-0.471181	-1.34629	-1.6864	-1.27858	0.554126	1.37165	0.370189	0.603006	0.669012	1.59912	1.81292	1.26604	1.26434	-0.634532	-1.76802	0.897115	0.161755	1.40859	-0.100734	-0.779407	-0.0458079	1.06147	0.526187	-0.0215611	1.13345	0.0404427	-0.120198	2.40637	-0.475999	-1.81655	-2.01766	-0.344865	2.54682	0.210114	0.877857	-0.742426	-0.753068	2.23921	1.3501	0.784349	1.1099	-1.13179	2.04591	1.54304	-0.401462	1.01639	-2.49375	2.13315	1.24424	-0.296081	-1.30099	0.189448	1.84018	-0.730563	-0.581182	0.686652	-1.92089	2.45722	-2.23843	-0.029924	-0.159539	0.359317	2.45542	-0.0889149	-0.527653	0.07038	0.658748	2.76686	-0.371103	1.07211	0.50498	-0.390042	2.0561	0.60542	0.553799	-0.614387	0.495448	2.67218	-0.0447047	0.579306	0.440934	-0.0881262	2.18241	-0.110112	1.25272	-0.0720269	0.207412	1.06924	-0.304935	0.497307	-0.740347	0.172782	-1.506691e+02	-1.286166e+03	-1.436835e+03
400	-1.51333	-0.903979	-1.23306	-1.45947	-1.32221	0.564102	1.13282	1.05907	0.442509	0.648516	1.55445	1.75273	1.23444	1.13272	0.00372037	-0.637141	-0.302168	0.077006	0.8696	0.113437	0.518008	0.0475829	1.11386	0.526148	0.417159	0.978807	-1.0235	0.0547025	1.82403	-0.640239	-0.205316	-2.36352	0.118591	2.45818	-1.25781	0.419564	-0.417899	-0.560082	1.70411	1.66399	1.4627	1.00965	-0.760798	2.15962	0.316767	-0.47413	0.963819	-2.4603	1.82068	-0.117234	0.835736	-0.997909	0.490977	1.18075	1.60635	0.483567	0.622505	-1.6092	2.14434	-1.35547	-0.320803	-0.341302	0.819744	2.44851	-0.00637174	-0.352643	0.0686019	0.674812	2.5054	0.00115202	1.8712	-1.0126	-0.691823	2.26185	1.3606	-0.159726	-0.500945	0.420769	2.19585	0.360866	1.10367	-0.784128	0.258811	1.33168	0.904578	1.08506	0.427067	0.128104	0.803221	0.0434734	0.269615	-0.876532	0.194815	-1.408699e+02	-1.276039e+03	-1.416909e+03
450	-1.44513	-0.464384	-1.29652	-1.97611	-1.27863	0.567028	1.41003	0.697608	0.632344	0.531032	1.51308	1.93891	1.27716	1.04166	-0.292773	-1.28644	0.749564	0.0802201	0.913014	-0.31459	0.739917	0.375607	1.37896	0.467111	-0.154806	0.643076	0.104261	0.23188	1.78131	1.11036	-1.15082	-0.993894	0.532343	2.16622	0.398542	0.481627	0.210727	-0.302803	1.654	0.561335	1.79848	1.49747	-1.60134	1.6314	1.13808	-0.639856	1.18154	-2.55829	2.17533	-0.838713	0.369091	-0.326216	0.598414	1.46124	1.55002	-0.131046	0.985578	-2.05696	2.15136	-1.91391	-0.449219	1.16905	0.84118	2.37767	-0.574283	-0.495878	0.775167	0.860189	2.54167	-1.26365	0.287193	-0.512366	-0.848889	1.65452	0.217318	0.600015	1.21501	0.398914	2.35489	1.17148	-0.132611	0.303989	0.368029	1.66419	-0.337581	1.62275	0.926879	0.424226	0.64904	-0.30702	0.679197	-0.148896	0.391112	-1.428989e+02	-1.283006e+03	-1.425905e+03
